id,tile_x,tile_y,zoom,lat_top_left,lon_top_left,lat_top_right,lon_top_right,lat_bottom_left,lon_bottom_left,lat_bottom_right,lon_bottom_right,lat_size_deg,lon_size_deg,area_deg2,area_km2,grid_position_i,grid_position_j
1,1644,1024,11,0.0,108.984375,0.0,109.16015625,-0.1757809742470874,108.984375,-0.1757809742470874,109.16015625,0.1757809742470874,0.17578125,0.030898999379370833,380.7061234349648,-2,-2
2,1644,1025,11,-0.1757809742470874,108.984375,-0.1757809742470874,109.16015625,-0.3515602939922723,108.984375,-0.3515602939922723,109.16015625,0.17577931974518488,0.17578125,0.03089870854895828,380.69895683690805,-2,-1
3,1644,1026,11,-0.3515602939922723,108.984375,-0.3515602939922723,109.16015625,-0.5273363048115138,108.984375,-0.5273363048115138,109.16015625,0.17577601081924155,0.17578125,0.030898126901819804,380.6846241804143,-2,0
4,1644,1027,11,-0.5273363048115138,108.984375,-0.5273363048115138,109.16015625,-0.7031073524364867,108.984375,-0.7031073524364867,109.16015625,0.17577104762497286,0.17578125,0.030897254465327262,380.6631265446381,-2,1
5,1644,1028,11,-0.7031073524364867,108.984375,-0.7031073524364867,109.16015625,-0.8788717828324156,108.984375,-0.8788717828324156,109.16015625,0.17576443039592893,0.17578125,0.03089609128053438,380.63446554809417,-2,2
6,1645,1024,11,0.0,109.16015625,0.0,109.3359375,-0.1757809742470874,109.16015625,-0.1757809742470874,109.3359375,0.1757809742470874,0.17578125,0.030898999379370833,380.7061234349648,-1,-2
7,1645,1025,11,-0.1757809742470874,109.16015625,-0.1757809742470874,109.3359375,-0.3515602939922723,109.16015625,-0.3515602939922723,109.3359375,0.17577931974518488,0.17578125,0.03089870854895828,380.69895683690805,-1,-1
8,1645,1026,11,-0.3515602939922723,109.16015625,-0.3515602939922723,109.3359375,-0.5273363048115138,109.16015625,-0.5273363048115138,109.3359375,0.17577601081924155,0.17578125,0.030898126901819804,380.6846241804143,-1,0
9,1645,1027,11,-0.5273363048115138,109.16015625,-0.5273363048115138,109.3359375,-0.7031073524364867,109.16015625,-0.7031073524364867,109.3359375,0.17577104762497286,0.17578125,0.030897254465327262,380.6631265446381,-1,1
10,1645,1028,11,-0.7031073524364867,109.16015625,-0.7031073524364867,109.3359375,-0.8788717828324156,109.16015625,-0.8788717828324156,109.3359375,0.17576443039592893,0.17578125,0.03089609128053438,380.63446554809417,-1,2
11,1646,1024,11,0.0,109.3359375,0.0,109.51171875,-0.1757809742470874,109.3359375,-0.1757809742470874,109.51171875,0.1757809742470874,0.17578125,0.030898999379370833,380.7061234349648,0,-2
12,1646,1025,11,-0.1757809742470874,109.3359375,-0.1757809742470874,109.51171875,-0.3515602939922723,109.3359375,-0.3515602939922723,109.51171875,0.17577931974518488,0.17578125,0.03089870854895828,380.69895683690805,0,-1
13,1646,1026,11,-0.3515602939922723,109.3359375,-0.3515602939922723,109.51171875,-0.5273363048115138,109.3359375,-0.5273363048115138,109.51171875,0.17577601081924155,0.17578125,0.030898126901819804,380.6846241804143,0,0
14,1646,1027,11,-0.5273363048115138,109.3359375,-0.5273363048115138,109.51171875,-0.7031073524364867,109.3359375,-0.7031073524364867,109.51171875,0.17577104762497286,0.17578125,0.030897254465327262,380.6631265446381,0,1
15,1646,1028,11,-0.7031073524364867,109.3359375,-0.7031073524364867,109.51171875,-0.8788717828324156,109.3359375,-0.8788717828324156,109.51171875,0.17576443039592893,0.17578125,0.03089609128053438,380.63446554809417,0,2
16,1647,1024,11,0.0,109.51171875,0.0,109.6875,-0.1757809742470874,109.51171875,-0.1757809742470874,109.6875,0.1757809742470874,0.17578125,0.030898999379370833,380.7061234349648,1,-2
17,1647,1025,11,-0.1757809742470874,109.51171875,-0.1757809742470874,109.6875,-0.3515602939922723,109.51171875,-0.3515602939922723,109.6875,0.17577931974518488,0.17578125,0.03089870854895828,380.69895683690805,1,-1
18,1647,1026,11,-0.3515602939922723,109.51171875,-0.3515602939922723,109.6875,-0.5273363048115138,109.51171875,-0.5273363048115138,109.6875,0.17577601081924155,0.17578125,0.030898126901819804,380.6846241804143,1,0
19,1647,1027,11,-0.5273363048115138,109.51171875,-0.5273363048115138,109.6875,-0.7031073524364867,109.51171875,-0.7031073524364867,109.6875,0.17577104762497286,0.17578125,0.030897254465327262,380.6631265446381,1,1
20,1647,1028,11,-0.7031073524364867,109.51171875,-0.7031073524364867,109.6875,-0.8788717828324156,109.51171875,-0.8788717828324156,109.6875,0.17576443039592893,0.17578125,0.03089609128053438,380.63446554809417,1,2
21,1648,1024,11,0.0,109.6875,0.0,109.86328125,-0.1757809742470874,109.6875,-0.1757809742470874,109.86328125,0.1757809742470874,0.17578125,0.030898999379370833,380.7061234349648,2,-2
22,1648,1025,11,-0.1757809742470874,109.6875,-0.1757809742470874,109.86328125,-0.3515602939922723,109.6875,-0.3515602939922723,109.86328125,0.17577931974518488,0.17578125,0.03089870854895828,380.69895683690805,2,-1
23,1648,1026,11,-0.3515602939922723,109.6875,-0.3515602939922723,109.86328125,-0.5273363048115138,109.6875,-0.5273363048115138,109.86328125,0.17577601081924155,0.17578125,0.030898126901819804,380.6846241804143,2,0
24,1648,1027,11,-0.5273363048115138,109.6875,-0.5273363048115138,109.86328125,-0.7031073524364867,109.6875,-0.7031073524364867,109.86328125,0.17577104762497286,0.17578125,0.030897254465327262,380.6631265446381,2,1
25,1648,1028,11,-0.7031073524364867,109.6875,-0.7031073524364867,109.86328125,-0.8788717828324156,109.6875,-0.8788717828324156,109.86328125,0.17576443039592893,0.17578125,0.03089609128053438,380.63446554809417,2,2
